36
(-0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(-0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.700000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(-0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(-0.200000, 0.700000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.300000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(-0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (23.642212, 0.000000)
(-0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.700000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (25.142212, 0.000000)
(-0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (23.641041, 0.000000)
(-0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(-0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(-0.200000, 0.700000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.300000, 0.200000) (1.000000, 0.000000, 0.000000) (23.641022, 0.000000)
(-0.200000, 0.300000, 0.200000) (1.000000, 0.000000, 0.000000) (25.142349, 0.000000)
(-0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (22.625000, 0.000000)
(-0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(-0.200000, 0.300000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.300000, 0.200000) (1.000000, 0.000000, 0.000000) (22.999878, 0.000000)
(0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.700000, -0.200000) (1.000000, 0.000000, 0.000000) (25.174652, 0.000000)
(0.200000, 0.300000, -0.200000) (1.000000, 0.000000, 0.000000) (25.125000, 0.000000)
(0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.300000, 0.200000) (1.000000, 0.000000, 0.000000) (-0.000000, 0.000000)
(0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.700000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(-0.200000, 0.700000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000001, 0.000000)
(-0.200000, 0.700000, -0.200000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000)
(-0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000001, 0.000000)
(0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (23.721481, 0.000000)
(-0.200000, 0.700000, 0.200000) (1.000000, 0.000000, 0.000000) (0.000001, 0.000000)
(0.200000, 0.300000, 0.200000) (1.000000, 0.000000, 0.000000) (25.174652, 0.000000)
